date,volume
2016-11-16,2769
2016-11-17,2844
2016-11-18,1632
2016-11-19,1841
2016-11-20,3988
2016-11-21,2325
2016-11-22,2602
2016-11-23,2824
2016-11-24,2279
2016-11-25,2137
2016-11-26,2256
2016-11-27,4174
2016-11-28,4277
2016-11-29,1938
2016-11-30,1854
2016-12-01,1535
2016-12-02,1421
2016-12-03,1193
2016-12-04,2356
2016-12-05,2281
2016-12-06,2016
2016-12-07,2365
2016-12-08,2113
2016-12-09,1975
2016-12-10,1793
2016-12-11,3325
2016-12-12,3057
2016-12-13,3444
2016-12-14,3331
2016-12-15,2914
2016-12-16,2835
2016-12-17,2884
2016-12-18,5991
2016-12-19,5480
2016-12-20,1802
2016-12-21,1019
2016-12-22,859
2016-12-23,727
2016-12-24,629
2016-12-25,566
2016-12-26,1090
2016-12-27,1864
2016-12-28,2347
2016-12-29,2363
2016-12-30,1917
2016-12-31,1599
2017-01-01,2068
2017-01-02,3198
2017-01-03,3031
2017-01-04,2863
2017-01-05,2701
2017-01-06,2546
2017-01-07,3609
2017-01-08,4993
2017-01-09,3809
2017-01-10,3383
2017-01-11,1590
2017-01-12,1638
2017-01-13,1714
2017-01-14,1718
2017-01-15,2890
2017-01-16,1945
2017-01-17,1987
2017-01-18,1705
2017-01-19,1467
2017-01-20,1522
2017-01-21,1725
2017-01-22,2862
2017-01-23,2665
2017-01-24,2791
2017-01-25,3473
2017-01-26,3460
2017-01-27,3936
2017-01-28,1735
2017-01-29,3120
2017-01-30,2637
2017-01-31,3075
2017-02-01,1395
2017-02-02,1233
2017-02-03,1105
2017-02-04,1101
2017-02-05,2204
2017-02-06,1377
2017-02-07,1465
2017-02-08,1352
2017-02-09,1324
2017-02-10,1421
2017-02-11,1419
2017-02-12,2073
2017-02-13,1467
2017-02-14,1296
2017-02-15,1321
2017-02-16,1221
2017-02-17,1253
2017-02-18,1250
2017-02-19,2084
2017-02-20,2044
2017-02-21,1791
2017-02-22,1236
2017-02-23,2069
2017-02-24,2000
2017-02-25,1806
2017-02-26,2696
2017-02-27,2588
2017-02-28,2322
2017-03-01,2111
2017-03-02,2053
2017-03-03,2456
2017-03-04,2331
2017-03-05,4459
2017-03-06,4249
2017-03-07,5162
2017-03-08,5938
2017-03-09,1470
2017-03-10,965
2017-03-11,1017
2017-03-12,1504
2017-03-13,1361
2017-03-14,1144
2017-03-15,923
2017-03-16,833
2017-03-17,913
2017-03-18,1369
2017-03-19,2192
2017-03-20,1996
2017-03-21,1919
2017-03-22,1838
2017-03-23,1068
2017-03-24,1098
2017-03-25,900
2017-03-26,1474
2017-03-27,1254
2017-03-28,1240
2017-03-29,1406
2017-03-30,1136
2017-03-31,1007
